1.029	1.169	Hey
1.230	1.830	Monica
2.309	2.589	this
2.589	2.910	is
2.910	3.150	a
3.150	3.789	feedback
3.789	4.309	video
4.309	4.469	for
4.469	4.909	your
4.909	5.530	final
6.070	6.389	but
6.389	6.630	it's
6.630	6.869	gonna
6.869	6.989	be
6.989	7.219	an
7.219	7.590	easy
7.590	7.860	one
7.860	7.989	for
7.989	8.109	me
8.109	8.270	to
8.270	9.050	record
9.050	9.810	because
10.470	10.590	you
10.590	10.789	did
10.789	11.149	great
12.159	12.399	As
12.399	12.600	far
12.600	12.720	as
12.720	12.920	I
12.920	13.079	could
13.079	13.439	tell
13.609	13.720	you
13.720	14.119	didn't
14.430	14.800	skip
14.800	15.340	any
15.340	15.739	questions
15.760	16.620	and
16.799	16.899	there
16.899	17.139	was
17.139	17.559	nowhere
17.559	17.799	where
17.799	18.079	I
18.079	18.360	felt
18.360	18.520	that
18.520	18.680	you
18.680	19.079	left
19.079	19.559	something
19.559	19.920	important
19.920	20.459	out
20.879	21.110	So
21.280	21.559	nice
21.559	21.780	job
21.780	22.000	on
22.000	22.340	that
23.360	23.840	Um
23.920	24.200	rather
24.200	24.459	than
24.459	24.860	go
25.040	25.479	through
25.479	25.840	your
25.840	26.280	exam
26.280	26.399	and
26.399	26.680	just
26.680	27.000	say
27.000	27.200	good
27.200	27.500	job
27.500	27.959	over
27.959	28.110	and
28.110	28.360	over
28.360	28.500	and
28.500	29.069	over
29.459	29.799	I
29.799	29.959	picked
29.959	30.079	a
30.079	30.280	couple
30.280	30.479	of
30.479	30.920	places
30.920	31.579	where
32.000	32.200	you
32.200	32.400	said
32.400	33.069	something
33.069	33.220	interesting
33.220	33.319	and
33.319	33.520	I'll
33.520	33.720	just
33.720	34.180	comment
34.180	34.360	on
34.360	34.560	it
34.560	34.680	in
34.680	34.880	the
34.880	35.139	spirit
35.139	35.759	of
35.759	36.119	discussion
36.229	36.659	but
37.000	37.200	not
37.200	37.319	in
37.319	37.520	the
37.520	37.720	spirit
37.720	37.840	of
37.840	38.360	constructive
38.360	38.959	criticism
39.080	39.319	You
39.319	39.720	honestly
39.720	40.119	did
40.119	40.900	excellently
41.470	42.040	Um
42.279	42.479	I
42.479	42.799	felt
42.799	43.069	that
43.069	43.360	you
43.360	43.479	had
43.479	43.599	a
43.599	43.790	really
43.790	44.619	insightful
44.919	45.319	discussion
45.319	45.549	about
45.549	45.990	the
46.279	46.439	the
46.439	46.659	dev
46.659	47.419	cycle
47.880	48.349	um
48.639	48.919	so
49.259	49.490	Uh
49.500	49.740	either
49.740	49.900	you've
49.900	50.099	been
50.099	50.220	through
50.220	50.700	it
50.700	50.880	enough
50.880	51.340	times
51.340	51.740	yourself
51.779	52.060	or
52.060	52.220	you
52.330	52.500	you
52.500	52.659	seem
52.659	53.099	to
53.619	53.779	understand
53.779	53.900	it
53.900	54.119	pretty
54.119	54.299	well
54.419	54.889	so
55.159	55.819	kudos
55.819	56.139	on
56.139	56.540	that
59.869	60.319	Um
60.479	60.799	I
60.799	61.069	believe
61.069	61.290	the
61.290	61.819	next
61.819	62.659	thing
63.569	63.810	I
63.810	64.010	wanted
64.010	64.080	to
64.080	64.489	mention
64.489	64.910	was
64.910	65.750	about
65.930	66.449	chat
66.449	67.470	GPT
68.989	69.970	In
70.750	71.949	the
71.949	72.190	question
72.190	72.589	about
72.589	72.900	web
72.900	73.269	apps
73.309	73.510	if
73.510	73.669	I
73.669	74.419	recall
74.419	75.410	correctly
78.239	78.480	Uh
78.489	78.639	I
78.639	78.760	might
78.760	78.910	have
78.910	79.080	passed
79.080	79.160	it
79.160	79.319	up
79.319	79.480	or
79.480	79.639	maybe
79.639	79.830	it's
79.830	80.040	later
80.040	80.360	on
80.459	80.980	um
82.239	82.480	So
82.480	82.709	I'll
82.709	82.959	just
82.959	83.760	mention
83.760	84.519	this
84.519	84.819	part
85.199	85.690	I
86.779	87.019	This
87.019	87.180	made
87.180	87.500	me
87.500	87.720	realize
87.720	87.980	that
87.980	88.260	my
88.260	88.819	metaphor
88.819	89.180	about
89.180	89.819	CSS
89.819	90.099	being
90.099	90.220	the
90.220	90.739	skin
90.739	90.889	is
90.889	90.980	a
90.980	91.180	little
91.180	91.339	bit
91.339	92.160	grotesque
92.180	92.849	and
93.180	93.639	it's
93.940	94.339	actually
94.339	94.459	a
94.459	94.980	much
94.980	95.389	nicer
95.389	95.580	way
95.580	95.940	to
95.940	96.120	explain
96.120	96.379	it
96.580	96.739	to
96.739	96.900	say
96.900	97.139	that
97.139	97.580	CSS
97.580	97.779	is
97.779	98.089	like
98.089	98.209	the
98.209	98.779	person's
98.779	99.569	clothes
99.940	100.220	their
100.220	100.680	style
100.819	101.139	like
101.139	101.540	literally
101.540	101.819	their
101.819	102.199	style
102.269	102.449	Um
102.459	102.620	it
102.620	103.199	makes
103.569	103.660	a
103.660	103.889	lot
103.889	104.180	more
104.180	104.419	sense
104.459	104.580	I
104.580	104.779	think
104.779	105.099	people
105.099	105.540	will
105.540	105.739	remember
105.739	105.900	it
105.900	106.160	better
106.260	106.639	so
106.959	107.400	um
107.540	107.699	I'm
107.699	107.980	gonna
107.980	108.199	start
108.199	108.519	changing
108.519	108.620	the
